Campaign report
"February 1, 2026 - May 21, 2026"
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Bid strategy type,Goals,Cost,Conversions,Phone calls,All conv.,Cost / conv.,Conv. value,CTR,Clicks,Impr.,Target CPA,Conv. rate,Avg. CPM,Avg. CPC,Search impr. share,Search lost IS (budget),Search lost abs. top IS (budget),Search lost top IS (budget),Search lost IS (rank),Optimization score,New customers,Conv. value / cost,Viewable CTR,Avg. viewable CPM,Viewable impr.,Original conv. value
April 2026,Enabled,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,59.40, --,Daily,USD,Eligible,,Search,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",1805.79,28.00,29,154.41,64.50,44.99,5.70%,230,"4,033", --,12.17%,447.75,7.85,34.66%,17.23%,17.35%,17.35%,48.11%,81.65,0.00,0.02, --,0,0,44.99
May 2026,Enabled,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,59.40, --,Daily,USD,Eligible,,Search,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",1215.27,23.00,20,83.45,52.84,24.00,5.56%,135,"2,427", --,17.04%,500.73,9.00,39.62%,21.09%,21.73%,21.73%,39.29%,81.65,0.00,0.02, --,0,0,24.00
February 2026,Enabled,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,50.86, --,Daily,USD,Eligible,,Search,Maximize Conversions (Target CPA),"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",128.96,6.00,7,21.00,21.49,3.00,7.26%,40,551,60.00,15.00%,234.04,3.22,34.05%,0.00%,0.00%,0.00%,65.95%,87.26,0.00,0.02, --,0,0,3.00
March 2026,Enabled,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,50.86, --,Daily,USD,Eligible,,Search,Maximize Conversions (Target CPA),"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",245.10,10.00,12,60.42,24.51,9.00,8.55%,63,737,60.00,15.87%,332.57,3.89,42.54%,0.00%,0.00%,0.00%,57.46%,87.26,0.00,0.04, --,0,0,9.00
April 2026,Enabled,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,50.86, --,Daily,USD,Eligible,,Search,Maximize Conversions (Target CPA),"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",170.55,14.50,11,33.16,11.76,12.00,7.80%,39,500,60.00,37.17%,341.10,4.37,40.21%,0.00%,0.00%,0.00%,59.79%,87.26,0.00,0.07, --,0,0,12.00
May 2026,Enabled,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,50.86, --,Daily,USD,Eligible,,Search,Maximize Conversions (Target CPA),"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",85.57,6.00,4,15.00,14.26,6.00,5.48%,19,347,60.00,31.58%,246.61,4.50,44.15%,0.00%,0.00%,0.00%,55.85%,87.26,0.00,0.07, --,0,0,6.00
February 2026,Enabled,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,82.29, --,Daily,USD,Eligible (Limited),limited by budget,Search,Maximize Conversions (Target CPA),"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",1919.35,37.67,28,251.61,50.95,18.01,5.36%,348,"6,491",37.50,10.82%,295.69,5.52,33.49%,0.00%,0.00%,0.00%,66.51%,75.25,0.00,0.01, --,0,0,18.01
March 2026,Enabled,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,82.29, --,Daily,USD,Eligible (Limited),limited by budget,Search,Maximize Conversions (Target CPA),"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",2501.04,67.00,34,201.85,37.33,22.51,6.02%,363,"6,030",37.50,18.46%,414.77,6.89,32.45%,17.40%,18.42%,18.42%,50.15%,75.25,0.00,0.01, --,0,0,22.51
April 2026,Enabled,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,82.29, --,Daily,USD,Eligible (Limited),limited by budget,Search,Maximize Conversions (Target CPA),"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",2362.16,53.08,32,278.54,44.50,25.00,5.23%,387,"7,398",37.50,13.72%,319.30,6.10,39.69%,0.00%,0.00%,0.00%,60.31%,75.25,0.00,0.01, --,0,0,25.00
May 2026,Enabled,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,82.29, --,Daily,USD,Eligible (Limited),limited by budget,Search,Maximize Conversions (Target CPA),"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",1663.91,32.67,30,132.75,50.93,38.00,5.06%,242,"4,781",37.50,13.50%,348.03,6.88,44.66%,5.72%,5.77%,5.77%,49.62%,75.25,0.00,0.02, --,0,0,38.00
